name,quadrant,ring,isNew,description,,,
Oracle,Plattform,Avvakta,FALSE,Databas,,,
ORM,Plattform,Avvakta,FALSE,"Verktyg för att mappa relationsdatabaser i kod, t ex Hibernate och Eclipselink",,,
Weblogic Server,Plattform,Avvakta,FALSE,Applikationsserver för att drifta Java-applikationer,,,
WebSphere,Plattform,Avvakta,FALSE,Applikationsserver för att drifta Java-applikationer,,,
EJB,Språk,Avvakta,FALSE,,,,
Java 8,Språk,Avvakta,FALSE,På grund av miljö är man ibland tvungen att välja Java 8,,,
DB-länkar,Verktyg,Avvakta,FALSE,,,,
ETE,Verktyg,Avvakta,FALSE,Häxkonst för testdata,,,
FitNesse,Verktyg,Avvakta,FALSE,Ett testverktyg för automatisering av tester,,,
Selenium,Verktyg,Avvakta,FALSE,"Ett verktyg för att programmatiskt köra webbapplikationer, t ex vid automatisering av tester",,,
Puppet,Verktyg,Avvakta,FALSE,Ett verktyg för att på ett automatiserat sätt installera och konfigurera servrar.,,,
Subversion,Verktyg,Avvakta,FALSE,,,,
.NET Framework,Plattform,Avvakta,FALSE,,,,
Postgres,Plattform,Tillämpa,TRUE,Databas. Tillkom vid uppdatering 2022-03-30 även om den använts länge.,,,
ELM,Språk,Prova,TRUE,Ett funktionellt och typat språk. TIllkom vid uppfatering 2022-03-30,,,
MongoDB,Plattform,Utvärdera,TRUE,"NoSQL-databas. Tillkom vid uppdatering 2022-03-30, men har använts några år i produktionssystem.",,,
Spring Boot,Verktyg,Tillämpa,TRUE,"Ramverk för Java och Kotlin-applikationer. Har använts länge, men tillkom vid uppdatering 2022-03-30.",,,
JBoss EAP,Plattform,Avvakta,TRUE,Applikationsserver. Är gammal teknologi och ska avvecklas. Tillkom vid uppdatering 2022-03-30.,,,
Oauth2,Verktyg,Tillämpa,TRUE,Autentiseringsprotokoll som används t ex av API Manager. Tillkom vid uppdatering 2022-03-30.,,,
PyTorch,Plattform,Utvärdera,TRUE,Verktyg för AI/ML. Tillkom vid uppdatering 2022-03-30.,,,
Python 2.7,Språk,Avvakta,TRUE,"Språk som använts en del, men version 2.7 är gammal och bör undvikas. Tillkom vid uppdatering 2022-03-30.",,,
Pythton 3,Språk,Tillämpa,TRUE,Språk som redan anväds en del. Tillkom dock vid uppdatering 2022-03-30.,,,
